tilenum,TileFilePath,PosX,PosY,coordl,coordt,id
0,Graphics/tilesets/dirt.png,0,464,32,80,70,
1,Graphics/tilesets/dirt.png,15,464,32,80,70,
2,Graphics/tilesets/dirt.png,31,464,32,80,70,
3,Graphics/tilesets/dirt.png,47,464,32,80,70,
4,Graphics/tilesets/dirt.png,63,464,32,80,70,
5,Graphics/tilesets/dirt.png,79,464,32,80,70,
6,Graphics/tilesets/dirt.png,52,464,32,80,70,
7,Graphics/tilesets/dirt.png,95,464,32,80,70,
8,Graphics/tilesets/dirt.png,111,464,32,80,70,
9,Graphics/tilesets/dirt.png,127,464,32,80,70,
10,Graphics/tilesets/dirt.png,143,464,32,80,70,
11,Graphics/tilesets/dirt.png,159,464,32,80,70,
12,Graphics/tilesets/dirt.png,175,464,32,80,70,
13,Graphics/tilesets/dirt.png,191,464,32,80,70,
14,Graphics/tilesets/dirt.png,207,464,32,80,70,
15,Graphics/tilesets/dirt.png,223,464,32,80,70,
16,Graphics/tilesets/dirt.png,239,464,32,80,70,
17,Graphics/tilesets/dirt.png,255,464,32,80,70,
18,Graphics/tilesets/dirt.png,271,464,32,80,70,
19,Graphics/tilesets/dirt.png,287,464,32,80,70,
20,Graphics/tilesets/dirt.png,303,464,32,80,70,
21,Graphics/tilesets/dirt.png,319,464,32,80,70,
22,Graphics/tilesets/dirt.png,336,464,32,80,70,
23,Graphics/tilesets/dirt.png,334,464,32,80,70,
24,Graphics/tilesets/dirt.png,351,464,32,80,70,
25,Graphics/tilesets/dirt.png,367,464,32,80,70,
26,Graphics/tilesets/dirt.png,383,464,32,80,70,
27,Graphics/tilesets/dirt.png,399,464,32,80,70,
28,Graphics/tilesets/dirt.png,415,464,32,80,70,
29,Graphics/tilesets/dirt.png,431,464,32,80,70,
30,Graphics/tilesets/dirt.png,447,464,32,80,70,
31,Graphics/tilesets/dirt.png,463,464,32,80,70,
32,Graphics/tilesets/dirt.png,479,464,32,80,70,
33,Graphics/tilesets/dirt.png,0,448,40,80,85,
34,Graphics/tilesets/dirt.png,16,448,40,80,85,
35,Graphics/tilesets/dirt.png,32,448,40,80,85,
36,Graphics/tilesets/dirt.png,47,448,40,80,85,
37,Graphics/tilesets/dirt.png,63,448,40,0,75,
38,Graphics/tilesets/dirt.png,79,448,40,0,75,
39,Graphics/tilesets/dirt.png,95,448,40,0,75,
40,Graphics/tilesets/dirt.png,111,448,40,0,75,
41,Graphics/tilesets/dirt.png,127,448,40,24,78,
42,Graphics/tilesets/dirt.png,143,448,40,32,79,
43,Graphics/tilesets/dirt.png,152,463,32,96,72,
44,Graphics/tilesets/dirt.png,442,464,32,96,72,
45,Graphics/tilesets/dirt.png,457,464,32,96,72,
46,Graphics/tilesets/dirt.png,375,464,32,96,72,
47,Graphics/tilesets/dirt.png,473,464,32,96,72,
48,Graphics/tilesets/dirt.png,0,432,32,40,65,
49,Graphics/tilesets/dirt.png,15,432,32,40,65,
50,Graphics/tilesets/dirt.png,31,432,32,40,65,
51,Graphics/tilesets/dirt.png,47,432,32,40,65,
52,Graphics/tilesets/dirt.png,0,416,8,88,26,
53,Graphics/tilesets/dirt.png,0,464,32,80,70,
54,Graphics/tilesets/dirt.png,15,464,32,80,70,
55,Graphics/tilesets/dirt.png,31,464,32,80,70,
56,Graphics/tilesets/dirt.png,47,464,32,80,70,
57,Graphics/tilesets/dirt.png,63,464,32,80,70,
58,Graphics/tilesets/dirt.png,79,464,32,80,70,
59,Graphics/tilesets/dirt.png,52,464,32,80,70,
60,Graphics/tilesets/dirt.png,95,464,32,80,70,
61,Graphics/tilesets/dirt.png,111,464,32,80,70,
62,Graphics/tilesets/dirt.png,127,464,32,80,70,
63,Graphics/tilesets/dirt.png,143,464,32,80,70,
64,Graphics/tilesets/dirt.png,159,464,32,80,70,
65,Graphics/tilesets/dirt.png,175,464,32,80,70,
66,Graphics/tilesets/dirt.png,191,464,32,80,70,
67,Graphics/tilesets/dirt.png,207,464,32,80,70,
68,Graphics/tilesets/dirt.png,223,464,32,80,70,
69,Graphics/tilesets/dirt.png,239,464,32,80,70,
70,Graphics/tilesets/dirt.png,255,464,32,80,70,
71,Graphics/tilesets/dirt.png,271,464,32,80,70,
72,Graphics/tilesets/dirt.png,287,464,32,80,70,
73,Graphics/tilesets/dirt.png,303,464,32,80,70,
74,Graphics/tilesets/dirt.png,319,464,32,80,70,
75,Graphics/tilesets/dirt.png,336,464,32,80,70,
76,Graphics/tilesets/dirt.png,334,464,32,80,70,
77,Graphics/tilesets/dirt.png,351,464,32,80,70,
78,Graphics/tilesets/dirt.png,367,464,32,80,70,
79,Graphics/tilesets/dirt.png,383,464,32,80,70,
80,Graphics/tilesets/dirt.png,399,464,32,80,70,
81,Graphics/tilesets/dirt.png,415,464,32,80,70,
82,Graphics/tilesets/dirt.png,431,464,32,80,70,
83,Graphics/tilesets/dirt.png,447,464,32,80,70,
84,Graphics/tilesets/dirt.png,463,464,32,80,70,
85,Graphics/tilesets/dirt.png,479,464,32,80,70,
86,Graphics/tilesets/dirt.png,0,448,40,80,85,
87,Graphics/tilesets/dirt.png,16,448,40,80,85,
88,Graphics/tilesets/dirt.png,32,448,40,80,85,
89,Graphics/tilesets/dirt.png,47,448,40,80,85,
90,Graphics/tilesets/dirt.png,63,448,40,0,75,
91,Graphics/tilesets/dirt.png,79,448,40,0,75,
92,Graphics/tilesets/dirt.png,95,448,40,0,75,
93,Graphics/tilesets/dirt.png,111,448,40,0,75,
94,Graphics/tilesets/dirt.png,127,448,40,24,78,
95,Graphics/tilesets/dirt.png,143,448,40,32,79,
96,Graphics/tilesets/dirt.png,152,463,32,96,72,
97,Graphics/tilesets/dirt.png,442,464,32,96,72,
98,Graphics/tilesets/dirt.png,457,464,32,96,72,
99,Graphics/tilesets/dirt.png,375,464,32,96,72,
100,Graphics/tilesets/dirt.png,473,464,32,96,72,
101,Graphics/tilesets/dirt.png,0,432,32,40,65,
102,Graphics/tilesets/dirt.png,15,432,32,40,65,
103,Graphics/tilesets/dirt.png,31,432,32,40,65,
104,Graphics/tilesets/dirt.png,47,432,32,40,65,
105,Graphics/tilesets/dirt.png,0,416,8,88,26,
106,Graphics/tilesets/dirt.png,15,416,0,0,0,
107,Graphics/tilesets/dirt.png,31,416,0,0,0,
108,Graphics/tilesets/dirt.png,47,416,0,0,0,
109,Graphics/tilesets/dirt.png,159,448,40,64,83,
110,Graphics/tilesets/dirt.png,175,448,40,88,86,
111,Graphics/tilesets/dirt.png,191,448,32,104,73,
112,Graphics/tilesets/snow.png,207,448,40,64,83,
113,Graphics/tilesets/snow.png,207,431,40,0,75,
114,Graphics/tilesets/snow.png,223,431,40,32,79,
115,Graphics/tilesets/snow.png,207,415,8,0,15,
116,Graphics/tilesets/snow.png,223,415,8,0,15,
117,Graphics/tilesets/snow.png,191,416,0,88,11,
118,Graphics/tilesets/snow.png,191,431,32,8,61,
119,Graphics/tilesets/snow.png,223,447,40,0,75,
120,Graphics/tilesets/snow.png,239,432,40,88,86,
121,Graphics/tilesets/snow.png,255,432,40,72,84,
122,Graphics/tilesets/snow.png,239,448,40,56,82,
123,Graphics/tilesets/snow.png,336,415,0,72,9,
124,Graphics/tilesets/snow.png,223,463,40,112,89,
125,Graphics/tilesets/snow.png,234,463,40,112,89,
126,Graphics/tilesets/snow.png,319,415,16,32,34,
127,Graphics/tilesets/snow.png,239,416,8,32,19,
128,Graphics/tilesets/snow.png,255,416,0,32,4,
129,Graphics/tilesets/snow.png,271,416,8,0,15,
130,Graphics/tilesets/snow.png,287,415,8,0,15,
131,Graphics/tilesets/snow.png,303,415,24,0,45,
132,Graphics/tilesets/snow.png,271,432,32,16,62,
133,Graphics/tilesets/snow.png,272,448,40,40,80,
134,Graphics/tilesets/snow.png,256,448,32,112,74,
135,Graphics/tilesets/dirt.png,63,416,24,0,45,
136,Graphics/tilesets/dirt.png,79,415,24,0,45,
